city_name,city_uri,city_geo,city_mean,shipping_distance,shipping_cost
houston,houston.craigslist.org/search/jwa?query=diamond+ring,"29.7805,-95.3863",34220.54,1546,392.63621
madison,madison.craigslist.org/search/jwa?query=diamond+ring,"43.0878,-89.4301",24492.76,1975,280.76674
knoxville,knoxville.craigslist.org/search/jwa?query=diamond+ring,"35.9709,-83.9465",39814.39,2182,456.965485
cincinnati,cincinnati.craigslist.org/search/jwa?query=diamond+ring,"39.1399,-84.5064",41047.89,2172,471.150735
fresno,fresno.craigslist.org/search/jwa?query=diamond+ring,"36.7827,-119.7945",26376.35,222,302.428025
winstonsalem,winstonsalem.craigslist.org/search/jwa?query=diamond+ring,"36.1033,-80.2606",28076.6,2438,321.9809
milwaukee,milwaukee.craigslist.org/search/jwa?query=diamond+ring,"43.0633,-87.9667",23642.95,2055,270.993925
siouxfalls,siouxfalls.craigslist.org/search/jwa?query=diamond+ring,"43.5383,-96.7320",24340.4,1638,279.0146
fortwayne,fortwayne.craigslist.org/search/jwa?query=diamond+ring,"41.0882,-85.1439",15397.06,2159,176.16619
clarksville,clarksville.craigslist.org/search/jwa?query=diamond+ring,"36.5664,-87.3452",29792.15,2003,341.709725
denver,denver.craigslist.org/search/jwa?query=diamond+ring,"39.7618,-104.8806",36078.98,1025,414.00827
sanantonio,sanantonio.craigslist.org/search/jwa?query=diamond+ring,"29.4724,-98.5251",40034.0,1348,459.491
tulsa,tulsa.craigslist.org/search/jwa?query=diamond+ring,"36.1279,-95.9023",34373.85,1437,394.399275
amarillo,amarillo.craigslist.org/search/jwa?query=diamond+ring,"35.1978,-101.8287",26857.48,1072,307.96102
greensboro,greensboro.craigslist.org/search/jwa?query=diamond+ring,"36.0965,-79.8271",28407.28,2467,325.78372
jacksonville,jacksonville.craigslist.org/search/jwa?query=diamond+ring,"30.3370,-81.6613",27840.93,2416,319.270695
lincoln,lincoln.craigslist.org/search/jwa?query=diamond+ring,"40.8090,-96.6804",34654.23,1498,397.623645
norfolk,norfolk.craigslist.org/search/jwa?query=diamond+ring,"36.9230,-76.2446",169041.99,2703,1943.082885
miami,miami.craigslist.org/search/jwa?query=diamond+ring,"25.7752,-80.2086",25500.49,2732,292.355635
orlando,orlando.craigslist.org/search/jwa?query=diamond+ring,"28.4159,-81.2988",43569.85,2520,500.153275
